0.00 0.00 
0.00 0.00 
0.00 0.01 
0.00 0.04 
0.02 0.15 
0.00 0.00 
0.00 0.03 
1.23 0.16 
508.35 1.53 
10000 16.43 
0.00 0.03 
1.26 0.18 
10000 1.70 
10000 19.78 
10000 278.05 
0.00 0.15 
10000 0.98 
10000 10.92 
10000 181.93 
10000 10000 
0.00 0.61 
10000 4.81 
10000 55.28 
10000 1555.60 
10000 10000 
0.00 0.00 
0.00 0.01 
0.00 0.04 
0.11 0.26 
0.82 1.29 
0.00 0.04 
136.68 0.20 
10000 1.28 
10000 12.28 
10000 97.94 
1.63 0.40 
10000 2.82 
10000 19.21 
10000 193.00 
10000 10000 
10000 2.29 
10000 28.28 
10000 193.39 
10000 10000 
10000 10000 
10000 10.65 
10000 243.62 
10000 10000 
10000 10000 
10000 10000 
0.00 0.01 
0.01 0.02 
0.15 0.23 
1.52 1.31 
14.88 6.51 
24.69 0.57 
10000 1.73 
10000 10.77 
10000 76.88 
10000 598.24 
10000 11.12 
10000 52.42 
10000 299.19 
10000 10000 
10000 10000 
10000 93.07 
10000 596.22 
10000 10000 
10000 10000 
10000 10000 
10000 10000 
